task,obs_mode,temporal_mode,temporal_dropout_p,action_input,action_embedding_dim,model,sequence_r,sequence_l,sequence_ell,input_injection,dataset_seed,model_seed,spectral_radius,symmetry_index,normality_index,effective_rank,transient_amplification,power_decay_10,oscillatory_score,nilpotent_score
bottleneck_rooms,gaussian_sensory,temporal_full,0.5,none,0,lin_sequence_front_bands_r5_l8,5,8,12,front_bands,17,989,0.0,1.4142135675431586,0.09090908666837443,22.000001907348633,1.0,1.0,0.0,0.5
bottleneck_rooms,gaussian_sensory,temporal_full,0.5,none,0,lin_sequence_front_bands_r5_l8,5,8,12,front_bands,17,993,0.0,1.4142135675431586,0.09090908666837443,22.000001907348633,1.0,1.0,0.0,0.5
bottleneck_rooms,gaussian_sensory,temporal_full,0.5,none,0,lin_sequence_all_units_r3_l4,3,4,6,all_units,17,825,0.0,1.4142135591832916,0.1264911074347094,25.0,1.0,0.0,0.0,1.0
bottleneck_rooms,gaussian_sensory,temporal_full,0.5,none,0,lin_sequence_all_units_r3_l4,3,4,6,all_units,17,831,0.0,1.4142135591832916,0.1264911074347094,25.0,1.0,0.0,0.0,1.0
bottleneck_rooms,gaussian_sensory,temporal_full,0.5,none,0,lin_sequence_all_units_r3_l4,3,4,6,all_units,17,835,0.0,1.4142135591832916,0.1264911074347094,25.0,1.0,0.0,0.0,1.0
bottleneck_rooms,gaussian_sensory,temporal_dropout,0.5,none,0,numpy_rnn,,,,,11,1113,0.549760103225708,1.3881398094498756,0.2550249923202624,25.51774787902832,0.9483834505081177,0.00595265394076705,0.8125,0.9940825704694473
bottleneck_rooms,gaussian_sensory,temporal_dropout,0.5,none,0,reservoir_random,,,,all_units,11,1144,0.8999999761581421,1.37762330855776,0.25947544210097273,25.25029754638672,2.214585781097412,1.131783127784729,0.75,0.46909086903186226
bottleneck_rooms,gaussian_sensory,temporal_dropout,0.5,none,0,reservoir_random,,,,all_units,11,1150,0.8999999761581421,1.4350777768683833,0.2569754379963568,25.349355697631836,2.3114919662475586,2.10880184173584,0.8125,0.32166733388244423
bottleneck_rooms,gaussian_sensory,temporal_dropout,0.5,none,0,reservoir_random,,,,all_units,11,1154,0.8999999761581421,1.367971677389601,0.2691299186153414,25.16745376586914,1.865070104598999,0.8218604326248169,0.75,0.5488894660055083
bottleneck_rooms,gaussian_sensory,temporal_dropout,0.5,none,0,reservoir_symmetric,,,,all_units,11,1144,0.8999999165534973,0.0,0.0,25.693151473999023,0.8999999165534973,0.34867823123931885,0.0,0.7414667018693453
bottleneck_rooms,gaussian_sensory,temporal_dropout,0.5,none,0,reservoir_symmetric,,,,all_units,11,1150,0.9000000357627869,0.0,0.0,26.02836799621582,0.9000000357627869,0.34867846965789795,0.0,0.741466570793302
bottleneck_rooms,gaussian_sensory,temporal_dropout,0.5,none,0,reservoir_symmetric,,,,all_units,11,1154,0.8999999761581421,0.0,0.0,26.09702491760254,0.8999999761581421,0.3486784100532532,0.0,0.7414666035623085
bottleneck_rooms,gaussian_sensory,temporal_dropout,0.5,none,0,reservoir_oscillatory,,,,all_units,11,1144,0.8999999761581421,1.9999999921051903,0.0,25.423439025878906,0.8999999761581421,0.34867843985557556,0.9375,0.7414665871778049
bottleneck_rooms,gaussian_sensory,temporal_dropout,0.5,none,0,reservoir_oscillatory,,,,all_units,11,1150,0.8999999761581421,1.9999999924990177,0.0,25.487041473388672,0.8999999761581421,0.3486783504486084,0.9375,0.7414666363313178
bottleneck_rooms,gaussian_sensory,temporal_dropout,0.5,none,0,reservoir_oscillatory,,,,all_units,11,1154,0.8999999761581421,1.9999999923208645,0.0,25.042266845703125,0.8999999761581421,0.34867843985557556,0.9375,0.7414665871778049
bottleneck_rooms,gaussian_sensory,temporal_dropout,0.5,none,0,reservoir_orthogonal,,,,all_units,11,1144,0.8999999761581421,1.4887594316486192,2.6903834398317886e-08,32.0,0.8999999761581421,0.3486782908439636,0.9375,0.7414666691003301
bottleneck_rooms,gaussian_sensory,temporal_dropout,0.5,none,0,reservoir_orthogonal,,,,all_units,11,1150,0.8999999761581421,1.4130625067250864,2.7179396340479367e-08,32.0,0.9000000357627869,0.34867849946022034,0.9375,0.7414665544087998
bottleneck_rooms,gaussian_sensory,temporal_dropout,0.5,none,0,reservoir_orthogonal,,,,all_units,11,1154,0.9000000357627869,1.4662530690392819,3.165789434281408e-08,32.0,0.9000000357627869,0.34867849946022034,0.9375,0.7414665544087998
bottleneck_rooms,gaussian_sensory,temporal_dropout,0.5,none,0,reservoir_nilpotent,,,,all_units,11,1144,0.0,1.4142135493894883,0.04561979271085336,30.999990463256836,1.0,1.0,0.0,0.5
bottleneck_rooms,gaussian_sensory,temporal_dropout,0.5,none,0,reservoir_nilpotent,,,,all_units,11,1150,0.0,1.4142135493894883,0.04561979271085336,30.999990463256836,1.0,1.0,0.0,0.5
bottleneck_rooms,gaussian_sensory,temporal_dropout,0.5,none,0,reservoir_nilpotent,,,,all_units,11,1154,0.0,1.4142135493894883,0.04561979271085336,30.999990463256836,1.0,1.0,0.0,0.5
bottleneck_rooms,gaussian_sensory,temporal_dropout,0.5,none,0,reservoir_diagonal,,,,all_units,11,1144,0.8999999761581421,0.0,0.0,29.058326721191406,0.8999999761581421,0.3486783504486084,0.0,0.7414666363313178
bottleneck_rooms,gaussian_sensory,temporal_dropout,0.5,none,0,reservoir_diagonal,,,,all_units,11,1150,0.8999999761581421,0.0,0.0,29.058326721191406,0.8999999761581421,0.3486783504486084,0.0,0.7414666363313178
bottleneck_rooms,gaussian_sensory,temporal_dropout,0.5,none,0,reservoir_diagonal,,,,all_units,11,1154,0.8999999761581421,0.0,0.0,29.058326721191406,0.8999999761581421,0.3486783504486084,0.0,0.7414666363313178
bottleneck_rooms,gaussian_sensory,temporal_dropout,0.5,none,0,reservoir_low_rank,,,,all_units,11,1144,0.9000000953674316,1.4023902962701427,0.8117729324771528,3.747326612472534,12.556052207946777,2.684213638305664,0.125,0.2714283421576743
bottleneck_rooms,gaussian_sensory,temporal_dropout,0.5,none,0,reservoir_low_rank,,,,all_units,11,1150,0.9000000357627869,1.3996647018220683,0.7353297891683707,3.865633487701416,3.7272565364837646,1.4970595836639404,0.0625,0.40047102061245093
bottleneck_rooms,gaussian_sensory,temporal_dropout,0.5,none,0,reservoir_low_rank,,,,all_units,11,1154,0.9000000357627869,1.3886079111577203,0.7087613847464043,3.906658411026001,4.866994380950928,1.7093361616134644,0.0625,0.36909410289068
bottleneck_rooms,gaussian_sensory,temporal_dropout,0.5,none,0,reservoir_sparse,,,,all_units,11,1144,0.8999999761581421,1.438039086380611,0.3750232754403094,19.103235244750977,2.363820791244507,1.4244439601898193,0.375,0.41246571024958073
bottleneck_rooms,gaussian_sensory,temporal_dropout,0.5,none,0,reservoir_sparse,,,,all_units,11,1150,0.9000000357627869,1.419563534632119,0.3087385493456975,22.34633445739746,1.9954191446304321,1.0094122886657715,0.6875,0.4976579498595529
bottleneck_rooms,gaussian_sensory,temporal_dropout,0.5,none,0,reservoir_sparse,,,,all_units,11,1154,0.8999999761581421,1.4157846401515919,0.35062682770491915,22.37662696838379,1.4404494762420654,0.5346786379814148,0.6875,0.651602215116068
bottleneck_rooms,gaussian_sensory,temporal_dropout,0.5,none,0,reservoir_block_hybrid,,,,all_units,11,1144,0.8999999165534973,1.4587216668364464,0.08943100880406836,25.30590057373047,0.9999999403953552,0.9999994039535522,0.3125,0.5000001490116563
bottleneck_rooms,gaussian_sensory,temporal_dropout,0.5,none,0,reservoir_block_hybrid,,,,all_units,11,1150,0.8999999761581421,1.4927886151842422,0.0904667973989769,24.44752311706543,1.0,1.0,0.25,0.5
bottleneck_rooms,gaussian_sensory,temporal_dropout,0.5,none,0,reservoir_block_hybrid,,,,all_units,11,1154,0.8999999761581421,1.493932936929804,0.08761431906136277,25.86037254333496,1.0,1.0,0.3125,0.5
bottleneck_rooms,gaussian_sensory,temporal_dropout,0.5,none,0,lin_sequence_front_bands_r1_l2,1,2,2,front_bands,11,1723,0.0,1.414213534634327,0.35355338277469833,16.0,1.0,0.0,0.0,1.0
