delay,cue_visibility,obs_mode,temporal_mode,dataset_seed,model,memory_span,state_dim,n_train,n_test,action_accuracy
32,cue_gap,sparse_aliased,temporal_cue_then_blank,8049,reservoir_nilpotent_h32,,32,87,37,0.5675675675675675
32,cue_gap,sparse_aliased,temporal_cue_then_blank,8049,numpy_rnn_h128,,128,87,37,0.5135135135135135
32,cue_gap,sparse_aliased,temporal_cue_then_blank,8049,reservoir_nilpotent_h128,,128,87,37,0.7567567567567568
64,visible_state,dense,temporal_full,7075,memoryless_linear,,266,176,76,1.0
64,visible_state,dense,temporal_full,7081,memoryless_linear,,266,176,76,1.0
64,cue_gap,sparse_aliased,temporal_cue_then_blank,8075,memoryless_linear,,12,176,76,0.5
64,cue_gap,sparse_aliased,temporal_cue_then_blank,8075,history_h4,4,48,176,76,0.5
64,cue_gap,sparse_aliased,temporal_cue_then_blank,8075,lin_block_r3_l4,4,72,176,76,0.5
64,cue_gap,sparse_aliased,temporal_cue_then_blank,8075,history_h16,16,192,176,76,0.5
64,cue_gap,sparse_aliased,temporal_cue_then_blank,8075,lin_block_r3_l16,16,216,176,76,0.5
64,cue_gap,sparse_aliased,temporal_cue_then_blank,8075,history_h32,32,384,176,76,0.5
64,cue_gap,sparse_aliased,temporal_cue_then_blank,8075,lin_block_r3_l32,32,408,176,76,0.5131578947368421
64,cue_gap,sparse_aliased,temporal_cue_then_blank,8075,history_h64,64,768,176,76,1.0
64,cue_gap,sparse_aliased,temporal_cue_then_blank,8075,lin_block_r3_l64,64,792,176,76,0.9868421052631579
64,cue_gap,sparse_aliased,temporal_cue_then_blank,8075,history_h80,80,960,176,76,1.0
64,cue_gap,sparse_aliased,temporal_cue_then_blank,8075,lin_block_r3_l80,80,984,176,76,1.0
64,cue_gap,sparse_aliased,temporal_cue_then_blank,8075,numpy_rnn_h32,,32,176,76,0.5
64,cue_gap,sparse_aliased,temporal_cue_then_blank,8075,reservoir_nilpotent_h32,,32,176,76,0.4342105263157895
64,cue_gap,sparse_aliased,temporal_cue_then_blank,8075,numpy_rnn_h128,,128,176,76,0.5
64,cue_gap,sparse_aliased,temporal_cue_then_blank,8075,reservoir_nilpotent_h128,,128,176,76,0.7894736842105263
64,cue_gap,sparse_aliased,temporal_cue_then_blank,8081,memoryless_linear,,12,176,76,0.5
64,cue_gap,sparse_aliased,temporal_cue_then_blank,8081,history_h4,4,48,176,76,0.5
64,cue_gap,sparse_aliased,temporal_cue_then_blank,8081,lin_block_r3_l4,4,72,176,76,0.5
64,cue_gap,sparse_aliased,temporal_cue_then_blank,8081,history_h16,16,192,176,76,0.5
64,cue_gap,sparse_aliased,temporal_cue_then_blank,8081,lin_block_r3_l16,16,216,176,76,0.5
64,cue_gap,sparse_aliased,temporal_cue_then_blank,8081,history_h32,32,384,176,76,0.5263157894736842
64,cue_gap,sparse_aliased,temporal_cue_then_blank,8081,lin_block_r3_l32,32,408,176,76,0.5263157894736842
64,cue_gap,sparse_aliased,temporal_cue_then_blank,8081,history_h64,64,768,176,76,1.0
64,cue_gap,sparse_aliased,temporal_cue_then_blank,8081,lin_block_r3_l64,64,792,176,76,1.0
64,cue_gap,sparse_aliased,temporal_cue_then_blank,8081,history_h80,80,960,176,76,1.0
64,cue_gap,sparse_aliased,temporal_cue_then_blank,8081,lin_block_r3_l80,80,984,176,76,1.0
64,cue_gap,sparse_aliased,temporal_cue_then_blank,8081,numpy_rnn_h32,,32,176,76,0.5
64,cue_gap,sparse_aliased,temporal_cue_then_blank,8081,reservoir_nilpotent_h32,,32,176,76,0.42105263157894735
64,cue_gap,sparse_aliased,temporal_cue_then_blank,8081,numpy_rnn_h128,,128,176,76,0.5
64,cue_gap,sparse_aliased,temporal_cue_then_blank,8081,reservoir_nilpotent_h128,,128,176,76,0.7631578947368421
80,visible_state,dense,temporal_full,7091,memoryless_linear,,330,221,95,1.0
80,visible_state,dense,temporal_full,7097,memoryless_linear,,330,221,95,1.0
80,cue_gap,sparse_aliased,temporal_cue_then_blank,8091,memoryless_linear,,12,221,95,0.49473684210526314
80,cue_gap,sparse_aliased,temporal_cue_then_blank,8091,history_h4,4,48,221,95,0.49473684210526314
80,cue_gap,sparse_aliased,temporal_cue_then_blank,8091,lin_block_r3_l4,4,72,221,95,0.49473684210526314
80,cue_gap,sparse_aliased,temporal_cue_then_blank,8091,history_h16,16,192,221,95,0.49473684210526314
80,cue_gap,sparse_aliased,temporal_cue_then_blank,8091,lin_block_r3_l16,16,216,221,95,0.49473684210526314
80,cue_gap,sparse_aliased,temporal_cue_then_blank,8091,history_h32,32,384,221,95,0.49473684210526314
80,cue_gap,sparse_aliased,temporal_cue_then_blank,8091,lin_block_r3_l32,32,408,221,95,0.49473684210526314
80,cue_gap,sparse_aliased,temporal_cue_then_blank,8091,history_h64,64,768,221,95,0.6526315789473685
80,cue_gap,sparse_aliased,temporal_cue_then_blank,8091,lin_block_r3_l64,64,792,221,95,0.6736842105263158
80,cue_gap,sparse_aliased,temporal_cue_then_blank,8091,history_h80,80,960,221,95,1.0
80,cue_gap,sparse_aliased,temporal_cue_then_blank,8091,lin_block_r3_l80,80,984,221,95,1.0
80,cue_gap,sparse_aliased,temporal_cue_then_blank,8091,numpy_rnn_h32,,32,221,95,0.49473684210526314
80,cue_gap,sparse_aliased,temporal_cue_then_blank,8091,reservoir_nilpotent_h32,,32,221,95,0.45263157894736844
80,cue_gap,sparse_aliased,temporal_cue_then_blank,8091,numpy_rnn_h128,,128,221,95,0.49473684210526314
80,cue_gap,sparse_aliased,temporal_cue_then_blank,8091,reservoir_nilpotent_h128,,128,221,95,0.43157894736842106
80,cue_gap,sparse_aliased,temporal_cue_then_blank,8097,memoryless_linear,,12,221,95,0.49473684210526314
80,cue_gap,sparse_aliased,temporal_cue_then_blank,8097,history_h4,4,48,221,95,0.49473684210526314
80,cue_gap,sparse_aliased,temporal_cue_then_blank,8097,lin_block_r3_l4,4,72,221,95,0.49473684210526314
80,cue_gap,sparse_aliased,temporal_cue_then_blank,8097,history_h16,16,192,221,95,0.49473684210526314
80,cue_gap,sparse_aliased,temporal_cue_then_blank,8097,lin_block_r3_l16,16,216,221,95,0.49473684210526314
80,cue_gap,sparse_aliased,temporal_cue_then_blank,8097,history_h32,32,384,221,95,0.43157894736842106
80,cue_gap,sparse_aliased,temporal_cue_then_blank,8097,lin_block_r3_l32,32,408,221,95,0.49473684210526314
80,cue_gap,sparse_aliased,temporal_cue_then_blank,8097,history_h64,64,768,221,95,0.6421052631578947
80,cue_gap,sparse_aliased,temporal_cue_then_blank,8097,lin_block_r3_l64,64,792,221,95,0.6526315789473685
80,cue_gap,sparse_aliased,temporal_cue_then_blank,8097,history_h80,80,960,221,95,1.0
80,cue_gap,sparse_aliased,temporal_cue_then_blank,8097,lin_block_r3_l80,80,984,221,95,0.9894736842105263
80,cue_gap,sparse_aliased,temporal_cue_then_blank,8097,numpy_rnn_h32,,32,221,95,0.49473684210526314
80,cue_gap,sparse_aliased,temporal_cue_then_blank,8097,reservoir_nilpotent_h32,,32,221,95,0.45263157894736844
80,cue_gap,sparse_aliased,temporal_cue_then_blank,8097,numpy_rnn_h128,,128,221,95,0.49473684210526314
80,cue_gap,sparse_aliased,temporal_cue_then_blank,8097,reservoir_nilpotent_h128,,128,221,95,0.4105263157894737
