task,obs_mode,temporal_mode,action_input,action_embedding_dim,best_memoryless_accuracy,best_recurrent_model,best_recurrent_accuracy,memory_advantage
clamped_lattice,gaussian_sensory,temporal_cue_then_blank,one_hot,0,0.75,lin_block_r1_l4,0.9772727272727273,0.2272727272727273
clamped_lattice,gaussian_sensory,temporal_dropout,one_hot,0,0.7727272727272727,lin_block_r1_l2,0.7954545454545454,0.022727272727272707
clamped_lattice,gaussian_sensory,temporal_full,one_hot,0,0.7727272727272727,lin_block_r1_l2,0.7954545454545454,0.022727272727272707
clamped_lattice,hybrid,temporal_cue_then_blank,one_hot,0,0.75,lin_block_r1_l4,0.9772727272727273,0.2272727272727273
clamped_lattice,hybrid,temporal_dropout,one_hot,0,0.6590909090909091,lin_block_r3_l2,0.8181818181818182,0.15909090909090917
clamped_lattice,hybrid,temporal_full,one_hot,0,0.75,lin_sequence_front_bands_r1_l8,0.856060606060606,0.10606060606060597
clamped_lattice,sparse_aliased,temporal_cue_then_blank,one_hot,0,0.75,lin_block_r1_l4,0.8863636363636364,0.13636363636363635
clamped_lattice,sparse_aliased,temporal_dropout,one_hot,0,0.75,lin_block_r1_l4,0.8863636363636364,0.13636363636363635
clamped_lattice,sparse_aliased,temporal_full,one_hot,0,0.75,lin_block_r1_l8,0.8409090909090909,0.09090909090909094
clamped_lattice,vector,temporal_cue_then_blank,one_hot,0,0.75,lin_block_r3_l2,0.9772727272727273,0.2272727272727273
clamped_lattice,vector,temporal_dropout,one_hot,0,0.75,lin_block_r1_l4,0.8636363636363636,0.11363636363636365
clamped_lattice,vector,temporal_full,one_hot,0,0.75,lin_block_r1_l4,0.8636363636363636,0.11363636363636365
landmark_gap_detour,egocentric_landmark,temporal_cue_then_blank,one_hot,0,0.3333333333333333,lin_block_r1_l8,1.0,0.6666666666666667
landmark_gap_detour,egocentric_landmark,temporal_dropout,one_hot,0,0.41666666666666663,lin_block_r1_l8,0.9166666666666667,0.5000000000000001
landmark_gap_detour,egocentric_landmark,temporal_full,one_hot,0,0.8333333333333334,lin_block_r1_l8,1.0,0.16666666666666663
landmark_gap_detour,gaussian_sensory,temporal_cue_then_blank,one_hot,0,0.5,lin_block_r1_l8,0.9166666666666667,0.41666666666666674
landmark_gap_detour,gaussian_sensory,temporal_dropout,one_hot,0,0.5833333333333333,lin_block_r1_l8,0.75,0.16666666666666674
landmark_gap_detour,gaussian_sensory,temporal_full,one_hot,0,0.75,lin_block_r1_l2,1.0,0.25
landmark_gap_detour,hybrid,temporal_cue_then_blank,one_hot,0,0.5,lin_block_r1_l8,1.0,0.5
landmark_gap_detour,hybrid,temporal_dropout,one_hot,0,0.5833333333333333,lin_block_r1_l8,0.8333333333333334,0.2500000000000001
landmark_gap_detour,hybrid,temporal_full,one_hot,0,1.0,lin_block_r1_l8,1.0,0.0
landmark_gap_detour,sparse_aliased,temporal_cue_then_blank,one_hot,0,0.3333333333333333,lin_block_r1_l8,1.0,0.6666666666666667
landmark_gap_detour,sparse_aliased,temporal_dropout,one_hot,0,0.3333333333333333,lin_block_r1_l8,1.0,0.6666666666666667
landmark_gap_detour,sparse_aliased,temporal_full,one_hot,0,0.8333333333333334,lin_block_r1_l8,1.0,0.16666666666666663
landmark_gap_detour,vector,temporal_cue_then_blank,one_hot,0,0.5,lin_block_r1_l8,1.0,0.5
landmark_gap_detour,vector,temporal_dropout,one_hot,0,0.41666666666666663,lin_sequence_front_bands_r1_l8,0.9166666666666666,0.5
landmark_gap_detour,vector,temporal_full,one_hot,0,0.5,lin_block_r1_l8,1.0,0.5
room_graph_bottleneck,egocentric_landmark,temporal_cue_then_blank,one_hot,0,0.6875,reservoir_diagonal,0.7638888888888888,0.07638888888888884
room_graph_bottleneck,egocentric_landmark,temporal_dropout,one_hot,0,0.6666666666666667,lin_block_r3_l4,0.7395833333333333,0.07291666666666652
room_graph_bottleneck,egocentric_landmark,temporal_full,one_hot,0,0.75,numpy_rnn,0.8020833333333333,0.05208333333333326
room_graph_bottleneck,gaussian_sensory,temporal_cue_then_blank,one_hot,0,0.65625,reservoir_diagonal,0.7986111111111112,0.14236111111111116
room_graph_bottleneck,gaussian_sensory,temporal_dropout,one_hot,0,0.6666666666666666,reservoir_diagonal,0.736111111111111,0.06944444444444442
room_graph_bottleneck,gaussian_sensory,temporal_full,one_hot,0,0.7395833333333333,reservoir_diagonal,0.8229166666666665,0.08333333333333326
room_graph_bottleneck,hybrid,temporal_cue_then_blank,one_hot,0,0.6875,reservoir_diagonal,0.7708333333333334,0.08333333333333337
room_graph_bottleneck,hybrid,temporal_dropout,one_hot,0,0.6354166666666667,reservoir_diagonal,0.7708333333333334,0.13541666666666663
room_graph_bottleneck,hybrid,temporal_full,one_hot,0,0.7604166666666667,reservoir_diagonal,0.8333333333333334,0.07291666666666663
room_graph_bottleneck,sparse_aliased,temporal_cue_then_blank,one_hot,0,0.6875,reservoir_diagonal,0.8159722222222222,0.1284722222222222
room_graph_bottleneck,sparse_aliased,temporal_dropout,one_hot,0,0.6875,reservoir_diagonal,0.7743055555555557,0.08680555555555569
room_graph_bottleneck,sparse_aliased,temporal_full,one_hot,0,0.7604166666666667,reservoir_diagonal,0.8125,0.05208333333333326
room_graph_bottleneck,vector,temporal_cue_then_blank,one_hot,0,0.6875,reservoir_diagonal,0.84375,0.15625
room_graph_bottleneck,vector,temporal_dropout,one_hot,0,0.65625,reservoir_diagonal,0.7708333333333334,0.11458333333333337
room_graph_bottleneck,vector,temporal_full,one_hot,0,0.71875,reservoir_diagonal,0.8680555555555555,0.14930555555555547
room_graph_loop_rich,egocentric_landmark,temporal_cue_then_blank,one_hot,0,0.532258064516129,reservoir_diagonal,0.6451612903225806,0.11290322580645162
room_graph_loop_rich,egocentric_landmark,temporal_dropout,one_hot,0,0.6612903225806451,lin_sequence_front_bands_r1_l2,0.5806451612903226,-0.08064516129032251
room_graph_loop_rich,egocentric_landmark,temporal_full,one_hot,0,0.7580645161290323,reservoir_symmetric,0.7258064516129031,-0.032258064516129115
room_graph_loop_rich,gaussian_sensory,temporal_cue_then_blank,one_hot,0,0.532258064516129,reservoir_diagonal,0.6182795698924731,0.08602150537634412
room_graph_loop_rich,gaussian_sensory,temporal_dropout,one_hot,0,0.596774193548387,lin_block_r1_l2,0.6451612903225806,0.048387096774193616
room_graph_loop_rich,gaussian_sensory,temporal_full,one_hot,0,0.7258064516129032,reservoir_diagonal,0.7204301075268816,-0.005376344086021612
room_graph_loop_rich,hybrid,temporal_cue_then_blank,one_hot,0,0.532258064516129,lin_sequence_front_bands_r3_l2,0.6236559139784946,0.09139784946236562
room_graph_loop_rich,hybrid,temporal_dropout,one_hot,0,0.5806451612903225,reservoir_symmetric,0.6344086021505376,0.05376344086021512
room_graph_loop_rich,hybrid,temporal_full,one_hot,0,0.7419354838709677,reservoir_diagonal,0.7204301075268816,-0.021505376344086113
room_graph_loop_rich,sparse_aliased,temporal_cue_then_blank,one_hot,0,0.564516129032258,lin_block_r1_l4,0.564516129032258,0.0
room_graph_loop_rich,sparse_aliased,temporal_dropout,one_hot,0,0.6129032258064516,lin_block_r1_l2,0.5483870967741935,-0.06451612903225812
room_graph_loop_rich,sparse_aliased,temporal_full,one_hot,0,0.6290322580645161,lin_block_r1_l2,0.596774193548387,-0.032258064516129115
room_graph_loop_rich,vector,temporal_cue_then_blank,one_hot,0,0.5806451612903226,reservoir_diagonal,0.6505376344086021,0.06989247311827951
room_graph_loop_rich,vector,temporal_dropout,one_hot,0,0.5483870967741935,lin_sequence_front_bands_r3_l4,0.6236559139784946,0.07526881720430112
room_graph_loop_rich,vector,temporal_full,one_hot,0,0.5806451612903225,lin_sequence_front_bands_r5_l2,0.6344086021505376,0.05376344086021512
room_graph_tree_like,egocentric_landmark,temporal_cue_then_blank,one_hot,0,0.5714285714285714,lin_block_r3_l2,0.75,0.1785714285714286
room_graph_tree_like,egocentric_landmark,temporal_dropout,one_hot,0,0.6696428571428572,lin_block_r1_l4,0.7232142857142857,0.05357142857142849
room_graph_tree_like,egocentric_landmark,temporal_full,one_hot,0,0.75,reservoir_diagonal,0.7678571428571429,0.017857142857142905
room_graph_tree_like,gaussian_sensory,temporal_cue_then_blank,one_hot,0,0.5714285714285714,lin_block_r3_l2,0.75,0.1785714285714286
room_graph_tree_like,gaussian_sensory,temporal_dropout,one_hot,0,0.6517857142857143,reservoir_diagonal,0.7410714285714285,0.08928571428571419
room_graph_tree_like,gaussian_sensory,temporal_full,one_hot,0,0.75,reservoir_diagonal,0.7857142857142857,0.0357142857142857
room_graph_tree_like,hybrid,temporal_cue_then_blank,one_hot,0,0.5714285714285714,lin_block_r3_l2,0.75,0.1785714285714286
room_graph_tree_like,hybrid,temporal_dropout,one_hot,0,0.5982142857142858,lin_block_r3_l2,0.7410714285714286,0.1428571428571428
room_graph_tree_like,hybrid,temporal_full,one_hot,0,0.6428571428571428,reservoir_diagonal,0.7619047619047619,0.11904761904761907
room_graph_tree_like,sparse_aliased,temporal_cue_then_blank,one_hot,0,0.5714285714285714,reservoir_diagonal,0.7589285714285715,0.1875000000000001
room_graph_tree_like,sparse_aliased,temporal_dropout,one_hot,0,0.5714285714285714,lin_block_r3_l2,0.7321428571428572,0.1607142857142858
room_graph_tree_like,sparse_aliased,temporal_full,one_hot,0,0.6339285714285714,reservoir_diagonal,0.7648809523809524,0.13095238095238104
room_graph_tree_like,vector,temporal_cue_then_blank,one_hot,0,0.5446428571428572,reservoir_symmetric,0.75,0.2053571428571428
room_graph_tree_like,vector,temporal_dropout,one_hot,0,0.5714285714285714,lin_block_r3_l2,0.7410714285714286,0.1696428571428572
room_graph_tree_like,vector,temporal_full,one_hot,0,0.5714285714285714,lin_block_r3_l2,0.7321428571428571,0.1607142857142857
shortcut_route_choice,egocentric_landmark,temporal_cue_then_blank,one_hot,0,0.6,lin_block_r1_l8,1.0,0.4
shortcut_route_choice,egocentric_landmark,temporal_dropout,one_hot,0,0.6,lin_block_r5_l4,1.0,0.4
shortcut_route_choice,egocentric_landmark,temporal_full,one_hot,0,0.8,lin_block_r1_l4,1.0,0.19999999999999996
shortcut_route_choice,gaussian_sensory,temporal_cue_then_blank,one_hot,0,0.6,lin_block_r1_l8,1.0,0.4
shortcut_route_choice,gaussian_sensory,temporal_dropout,one_hot,0,0.7,lin_block_r1_l8,1.0,0.30000000000000004
shortcut_route_choice,gaussian_sensory,temporal_full,one_hot,0,0.7,lin_block_r1_l4,1.0,0.30000000000000004
shortcut_route_choice,hybrid,temporal_cue_then_blank,one_hot,0,0.6,lin_block_r1_l8,1.0,0.4
shortcut_route_choice,hybrid,temporal_dropout,one_hot,0,0.5,lin_block_r1_l8,1.0,0.5
shortcut_route_choice,hybrid,temporal_full,one_hot,0,0.8,lin_block_r1_l4,1.0,0.19999999999999996
shortcut_route_choice,sparse_aliased,temporal_cue_then_blank,one_hot,0,0.6,lin_block_r1_l8,1.0,0.4
shortcut_route_choice,sparse_aliased,temporal_dropout,one_hot,0,0.7,lin_block_r1_l8,1.0,0.30000000000000004
shortcut_route_choice,sparse_aliased,temporal_full,one_hot,0,0.8,lin_block_r1_l2,1.0,0.19999999999999996
shortcut_route_choice,vector,temporal_cue_then_blank,one_hot,0,0.6,lin_block_r1_l8,1.0,0.4
shortcut_route_choice,vector,temporal_dropout,one_hot,0,0.4,lin_block_r1_l8,1.0,0.6
shortcut_route_choice,vector,temporal_full,one_hot,0,0.7,lin_block_r1_l8,1.0,0.30000000000000004
shortcut_tree_025,egocentric_landmark,temporal_cue_then_blank,one_hot,0,0.9111111111111112,numpy_rnn,0.9277777777777778,0.016666666666666607
shortcut_tree_025,egocentric_landmark,temporal_dropout,one_hot,0,0.9277777777777778,lin_sequence_all_units_r3_l4,0.9296296296296297,0.0018518518518518823
shortcut_tree_025,egocentric_landmark,temporal_full,one_hot,0,0.9277777777777778,numpy_rnn,0.9333333333333333,0.005555555555555536
shortcut_tree_025,gaussian_sensory,temporal_cue_then_blank,one_hot,0,0.9111111111111112,numpy_rnn,0.9277777777777778,0.016666666666666607
shortcut_tree_025,gaussian_sensory,temporal_dropout,one_hot,0,0.9277777777777778,lin_sequence_front_bands_r1_l2,0.9314814814814816,0.0037037037037037646
shortcut_tree_025,gaussian_sensory,temporal_full,one_hot,0,0.9277777777777778,numpy_rnn,0.9333333333333333,0.005555555555555536
shortcut_tree_025,hybrid,temporal_cue_then_blank,one_hot,0,0.9111111111111112,numpy_rnn,0.9277777777777778,0.016666666666666607
shortcut_tree_025,hybrid,temporal_dropout,one_hot,0,0.9277777777777778,numpy_rnn,0.9333333333333333,0.005555555555555536
shortcut_tree_025,hybrid,temporal_full,one_hot,0,0.9277777777777778,reservoir_diagonal,0.9296296296296297,0.0018518518518518823
shortcut_tree_025,sparse_aliased,temporal_cue_then_blank,one_hot,0,0.9111111111111112,numpy_rnn,0.9277777777777778,0.016666666666666607
shortcut_tree_025,sparse_aliased,temporal_dropout,one_hot,0,0.9277777777777778,lin_sequence_all_units_r3_l4,0.9277777777777779,1.1102230246251565e-16
shortcut_tree_025,sparse_aliased,temporal_full,one_hot,0,0.9277777777777778,reservoir_low_rank,0.9277777777777779,1.1102230246251565e-16
shortcut_tree_025,vector,temporal_cue_then_blank,one_hot,0,0.9277777777777778,numpy_rnn,0.9277777777777778,0.0
shortcut_tree_025,vector,temporal_dropout,one_hot,0,0.9277777777777778,lin_sequence_front_bands_r1_l8,0.9277777777777779,1.1102230246251565e-16
shortcut_tree_025,vector,temporal_full,one_hot,0,0.9277777777777778,reservoir_diagonal,0.9277777777777779,1.1102230246251565e-16
shortcut_tree_050,egocentric_landmark,temporal_cue_then_blank,one_hot,0,0.8444444444444444,lin_sequence_front_bands_r1_l4,0.8629629629629628,0.01851851851851838
shortcut_tree_050,egocentric_landmark,temporal_dropout,one_hot,0,0.8444444444444444,numpy_rnn,0.8555555555555556,0.011111111111111183
shortcut_tree_050,egocentric_landmark,temporal_full,one_hot,0,0.8444444444444444,lin_block_r1_l4,0.8555555555555555,0.011111111111111072
shortcut_tree_050,gaussian_sensory,temporal_cue_then_blank,one_hot,0,0.8444444444444444,lin_sequence_front_bands_r1_l2,0.8537037037037036,0.00925925925925919
shortcut_tree_050,gaussian_sensory,temporal_dropout,one_hot,0,0.8444444444444444,lin_block_r1_l4,0.85,0.005555555555555536
shortcut_tree_050,gaussian_sensory,temporal_full,one_hot,0,0.8444444444444444,reservoir_diagonal,0.8481481481481481,0.0037037037037036535
