task,obs_mode,temporal_mode,action_input,action_embedding_dim,best_memoryless_accuracy,best_recurrent_model,best_recurrent_accuracy,memory_advantage
room_graph_tree_like,gaussian_sensory,temporal_cue_then_blank,embedding,8,0.5714285714285714,lin_block_r3_l2,0.7410714285714286,0.1696428571428572
room_graph_tree_like,gaussian_sensory,temporal_cue_then_blank,none,0,0.3214285714285714,reservoir_diagonal,0.4880952380952381,0.16666666666666669
room_graph_tree_like,gaussian_sensory,temporal_cue_then_blank,one_hot,0,0.5714285714285714,lin_block_r3_l2,0.75,0.1785714285714286
room_graph_tree_like,gaussian_sensory,temporal_dropout,embedding,8,0.6517857142857143,lin_block_r3_l2,0.7410714285714286,0.0892857142857143
room_graph_tree_like,gaussian_sensory,temporal_dropout,none,0,0.5446428571428572,lin_block_r3_l2,0.6339285714285714,0.08928571428571419
room_graph_tree_like,gaussian_sensory,temporal_dropout,one_hot,0,0.6517857142857143,lin_block_r3_l2,0.7321428571428572,0.0803571428571429
room_graph_tree_like,gaussian_sensory,temporal_full,embedding,8,0.75,reservoir_diagonal,0.7589285714285715,0.008928571428571508
room_graph_tree_like,gaussian_sensory,temporal_full,none,0,0.75,reservoir_diagonal,0.7589285714285713,0.008928571428571286
room_graph_tree_like,gaussian_sensory,temporal_full,one_hot,0,0.75,reservoir_diagonal,0.7648809523809524,0.014880952380952439
shortcut_route_choice,gaussian_sensory,temporal_cue_then_blank,embedding,8,0.6,lin_block_r1_l8,1.0,0.4
shortcut_route_choice,gaussian_sensory,temporal_cue_then_blank,none,0,0.4,lin_block_r1_l8,1.0,0.6
shortcut_route_choice,gaussian_sensory,temporal_cue_then_blank,one_hot,0,0.6,lin_block_r1_l8,1.0,0.4
shortcut_route_choice,gaussian_sensory,temporal_dropout,embedding,8,0.7,lin_block_r1_l8,1.0,0.30000000000000004
shortcut_route_choice,gaussian_sensory,temporal_dropout,none,0,0.7,lin_block_r1_l8,1.0,0.30000000000000004
shortcut_route_choice,gaussian_sensory,temporal_dropout,one_hot,0,0.7,lin_block_r1_l8,1.0,0.30000000000000004
shortcut_route_choice,gaussian_sensory,temporal_full,embedding,8,0.7,lin_block_r1_l8,1.0,0.30000000000000004
shortcut_route_choice,gaussian_sensory,temporal_full,none,0,0.6,lin_block_r1_l8,1.0,0.4
shortcut_route_choice,gaussian_sensory,temporal_full,one_hot,0,0.7,lin_block_r1_l4,1.0,0.30000000000000004
shortcut_tree_025,gaussian_sensory,temporal_cue_then_blank,embedding,8,0.9111111111111112,numpy_rnn,0.9277777777777778,0.016666666666666607
shortcut_tree_025,gaussian_sensory,temporal_cue_then_blank,none,0,0.9111111111111112,numpy_rnn,0.9277777777777778,0.016666666666666607
shortcut_tree_025,gaussian_sensory,temporal_cue_then_blank,one_hot,0,0.9111111111111112,numpy_rnn,0.9277777777777778,0.016666666666666607
shortcut_tree_025,gaussian_sensory,temporal_dropout,embedding,8,0.9277777777777778,lin_sequence_front_bands_r1_l4,0.9296296296296297,0.0018518518518518823
shortcut_tree_025,gaussian_sensory,temporal_dropout,none,0,0.9277777777777778,reservoir_block_hybrid,0.9296296296296297,0.0018518518518518823
shortcut_tree_025,gaussian_sensory,temporal_dropout,one_hot,0,0.9277777777777778,reservoir_diagonal,0.9314814814814816,0.0037037037037037646
shortcut_tree_025,gaussian_sensory,temporal_full,embedding,8,0.9277777777777778,lin_sequence_all_units_r3_l4,0.9277777777777779,1.1102230246251565e-16
shortcut_tree_025,gaussian_sensory,temporal_full,none,0,0.9277777777777778,lin_sequence_all_units_r3_l4,0.9296296296296297,0.0018518518518518823
shortcut_tree_025,gaussian_sensory,temporal_full,one_hot,0,0.9277777777777778,numpy_rnn,0.9333333333333333,0.005555555555555536
shortcut_tree_050,gaussian_sensory,temporal_cue_then_blank,embedding,8,0.8444444444444444,lin_sequence_front_bands_r1_l2,0.8574074074074073,0.012962962962962843
shortcut_tree_050,gaussian_sensory,temporal_cue_then_blank,none,0,0.8444444444444444,reservoir_random,0.8629629629629628,0.01851851851851838
shortcut_tree_050,gaussian_sensory,temporal_cue_then_blank,one_hot,0,0.8444444444444444,lin_sequence_front_bands_r1_l2,0.8592592592592592,0.014814814814814725
shortcut_tree_050,gaussian_sensory,temporal_dropout,embedding,8,0.8444444444444444,lin_block_r1_l4,0.85,0.005555555555555536
shortcut_tree_050,gaussian_sensory,temporal_dropout,none,0,0.8444444444444444,lin_block_r1_l4,0.85,0.005555555555555536
shortcut_tree_050,gaussian_sensory,temporal_dropout,one_hot,0,0.8444444444444444,lin_block_r1_l4,0.85,0.005555555555555536
shortcut_tree_050,gaussian_sensory,temporal_full,embedding,8,0.8444444444444444,lin_sequence_front_bands_r5_l4,0.8481481481481481,0.0037037037037036535
shortcut_tree_050,gaussian_sensory,temporal_full,none,0,0.8444444444444444,lin_block_r1_l4,0.85,0.005555555555555536
shortcut_tree_050,gaussian_sensory,temporal_full,one_hot,0,0.8444444444444444,numpy_rnn,0.85,0.005555555555555536
shortcut_tree_100,gaussian_sensory,temporal_cue_then_blank,embedding,8,0.6666666666666667,reservoir_diagonal,0.6870370370370371,0.020370370370370372
shortcut_tree_100,gaussian_sensory,temporal_cue_then_blank,none,0,0.6666666666666667,numpy_rnn,0.6777777777777778,0.011111111111111072
shortcut_tree_100,gaussian_sensory,temporal_cue_then_blank,one_hot,0,0.6666666666666667,reservoir_diagonal,0.6944444444444443,0.027777777777777568
shortcut_tree_100,gaussian_sensory,temporal_dropout,embedding,8,0.6444444444444445,lin_sequence_front_bands_r5_l8,0.6796296296296296,0.0351851851851851
shortcut_tree_100,gaussian_sensory,temporal_dropout,none,0,0.6666666666666667,numpy_rnn,0.6722222222222223,0.005555555555555536
shortcut_tree_100,gaussian_sensory,temporal_dropout,one_hot,0,0.6444444444444445,numpy_rnn,0.6777777777777778,0.033333333333333326
shortcut_tree_100,gaussian_sensory,temporal_full,embedding,8,0.6555555555555556,numpy_rnn,0.6722222222222223,0.01666666666666672
shortcut_tree_100,gaussian_sensory,temporal_full,none,0,0.6666666666666667,numpy_rnn,0.6666666666666667,0.0
shortcut_tree_100,gaussian_sensory,temporal_full,one_hot,0,0.6555555555555556,lin_sequence_front_bands_r1_l8,0.6666666666666666,0.011111111111111072
