obs_mode,temporal_mode,model,n_tasks,action_accuracy_mean,action_accuracy_sem,greedy_success_mean,greedy_success_sem
egocentric_landmark,temporal_full,reservoir_sparse,11,0.6818174880674881,0.07404139689965132,0.3586219336219336,0.08001662734105502
egocentric_landmark,temporal_full,reservoir_symmetric,11,0.7267121073371073,0.07521829768759576,0.4406204906204907,0.09902944216269989
hybrid,temporal_cue_then_blank,lin_sequence_all_units_r3_l4,11,0.5660595654345655,0.059640237359936184,0.20829725829725831,0.0508592327383647
hybrid,temporal_cue_then_blank,lin_sequence_front_bands_r1_l2,11,0.5044659507159507,0.06176276064229848,0.1187229437229437,0.04634443784221376
hybrid,temporal_cue_then_blank,lin_sequence_front_bands_r1_l4,11,0.5525321206571205,0.05626636663038969,0.19137806637806634,0.05061810424379569
hybrid,temporal_cue_then_blank,lin_sequence_front_bands_r1_l8,11,0.6919783688533688,0.07622052053953408,0.34314574314574314,0.10178660512999539
hybrid,temporal_cue_then_blank,lin_sequence_front_bands_r3_l2,11,0.5151292457542458,0.055117643499654395,0.18816738816738815,0.05254733888593586
hybrid,temporal_cue_then_blank,lin_sequence_front_bands_r3_l4,11,0.5714742202242202,0.06010992176206502,0.21727994227994227,0.052579136748023475
hybrid,temporal_cue_then_blank,lin_sequence_front_bands_r3_l8,11,0.6863371350871351,0.07444015587900207,0.34130591630591633,0.0944779133365858
hybrid,temporal_cue_then_blank,lin_sequence_front_bands_r5_l2,11,0.5675855394605395,0.05887329873678768,0.23383838383838385,0.05605059515675808
hybrid,temporal_cue_then_blank,lin_sequence_front_bands_r5_l4,11,0.6147705072705074,0.06538768547425783,0.26035353535353534,0.06594739395543478
hybrid,temporal_cue_then_blank,lin_sequence_front_bands_r5_l8,11,0.668866896991897,0.07544321330241971,0.32305194805194803,0.09950216293266106
hybrid,temporal_cue_then_blank,memoryless_linear,11,0.4915528221778222,0.05895531871709528,0.057900432900432904,0.020858378716222533
hybrid,temporal_cue_then_blank,memoryless_mlp,11,0.4915528221778222,0.05895531871709528,0.057900432900432904,0.020858378716222533
hybrid,temporal_cue_then_blank,numpy_rnn,11,0.5904276973026973,0.054950054393986154,0.062445887445887444,0.027689939078089545
hybrid,temporal_cue_then_blank,reservoir_block_hybrid,11,0.6059321928071928,0.0654992763959503,0.2803030303030303,0.07757771396417766
hybrid,temporal_cue_then_blank,reservoir_diagonal,11,0.6247886141636142,0.058161872382362374,0.19613997113997114,0.051595406481453394
hybrid,temporal_cue_then_blank,reservoir_low_rank,11,0.5401039238539239,0.0576722119611399,0.21652236652236648,0.05541848873543663
hybrid,temporal_cue_then_blank,reservoir_nilpotent,11,0.6735152347652349,0.07598084418583234,0.34520202020202023,0.10145137199418298
hybrid,temporal_cue_then_blank,reservoir_orthogonal,11,0.651604020979021,0.07415174272396348,0.3318181818181818,0.0994932189769005
hybrid,temporal_cue_then_blank,reservoir_oscillatory,11,0.5508678127428127,0.06057879575244874,0.234018759018759,0.061093307382718336
