task,geometry,behavior_family,obs_mode,temporal_mode,model,sequence_r,sequence_l,sequence_ell,input_injection,n_runs,action_accuracy_mean,action_accuracy_sem,greedy_success_mean,greedy_success_sem,context_accuracy_mean,context_accuracy_sem
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_full,reservoir_symmetric,,,,all_units,9,0.7529411764705882,0.0,nan,0.0,0.5215686274509803,0.007843137254901955
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_cue_then_blank,history_linear_h16,,,,,3,0.5058823529411764,0.0,nan,0.0,0.46274509803921565,0.007843137254901952
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_cue_then_blank,history_linear_h4,,,,,3,0.5058823529411764,0.0,nan,0.0,0.48235294117647065,0.006792356108113253
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_cue_then_blank,history_linear_h64,,,,,3,0.6901960784313724,0.0039215686274509665,nan,0.0,0.3568627450980392,0.019607843137254905
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_cue_then_blank,history_linear_h80,,,,,3,1.0,0.0,nan,0.0,0.5803921568627451,0.019607843137254905
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_cue_then_blank,lin_block_r1_l16,1,16,16,independent_blocks,3,0.5058823529411764,0.0,nan,0.0,0.46274509803921565,0.007843137254901952
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_cue_then_blank,lin_block_r1_l4,1,4,4,independent_blocks,3,0.5058823529411764,0.0,nan,0.0,0.48235294117647065,0.006792356108113253
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_cue_then_blank,lin_block_r1_l64,1,64,64,independent_blocks,3,0.6941176470588234,7.850462293418875e-17,nan,0.0,0.3490196078431373,0.021834370050313804
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_cue_then_blank,lin_block_r3_l16,3,16,18,independent_blocks,3,0.5058823529411764,0.0,nan,0.0,0.5647058823529412,0.011764705882352936
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_cue_then_blank,lin_block_r3_l4,3,4,6,independent_blocks,3,0.5058823529411764,0.0,nan,0.0,0.5058823529411764,0.006792356108113253
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_cue_then_blank,lin_block_r3_l64,3,64,66,independent_blocks,3,0.7137254901960784,0.0039215686274509665,nan,0.0,0.7019607843137253,0.020750990675016425
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_cue_then_blank,lin_block_r5_l16,5,16,20,independent_blocks,3,0.5058823529411764,0.0,nan,0.0,0.5725490196078431,0.0039215686274509665
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_cue_then_blank,lin_block_r5_l4,5,4,8,independent_blocks,3,0.5058823529411764,0.0,nan,0.0,0.5176470588235293,0.006792356108113253
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_cue_then_blank,lin_block_r5_l64,5,64,68,independent_blocks,3,0.7294117647058824,0.006792356108113253,nan,0.0,0.7411764705882353,0.006792356108113253
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_cue_then_blank,lin_sequence_all_units_r3_l4,3,4,6,all_units,9,0.4980392156862745,0.003921568627450977,nan,0.0,0.49673202614379086,0.005104738350265786
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_cue_then_blank,lin_sequence_front_bands_r1_l2,1,2,2,front_bands,9,0.5045751633986928,0.0013071895424836555,nan,0.0,0.4875816993464053,0.0044328954138073634
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_cue_then_blank,lin_sequence_front_bands_r1_l4,1,4,4,front_bands,9,0.5058823529411764,0.0,nan,0.0,0.48235294117647065,0.0033961780540566256
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_cue_then_blank,lin_sequence_front_bands_r1_l8,1,8,8,front_bands,9,0.4993464052287582,0.003975661784508637,nan,0.0,0.48496732026143796,0.0032679738562091543
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_cue_then_blank,lin_sequence_front_bands_r3_l2,3,2,4,front_bands,9,0.5019607843137255,0.002772967769359005,nan,0.0,0.4875816993464053,0.0028489535578697244
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_cue_then_blank,lin_sequence_front_bands_r3_l4,3,4,6,front_bands,9,0.5045751633986928,0.0013071895424836555,nan,0.0,0.49673202614379086,0.006131262431141742
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,sparse_aliased,temporal_cue_then_blank,lin_sequence_front_bands_r3_l8,3,8,10,front_bands,9,0.4862745098039216,0.005187747668754099,nan,0.0,0.4901960784313726,0.007843137254901966
