task,topology,aliasing,obs_mode,cue_visibility,temporal_mode,dataset_seed,model,state_dim,n_train,n_test,decision_fraction,action_accuracy,decision_accuracy
room_graph_bottleneck,bottleneck,high,sparse_aliased,persistent,temporal_full,3111,hybrid_vector_history_h8,104,111,48,1.0,0.75,0.75
room_graph_bottleneck,bottleneck,high,sparse_aliased,persistent,temporal_full,3111,numpy_rnn_h32,32,111,48,1.0,0.6875,0.6875
room_graph_bottleneck,bottleneck,high,sparse_aliased,persistent,temporal_full,3111,reservoir_diagonal_h32,32,111,48,1.0,0.75,0.75
room_graph_bottleneck,bottleneck,high,sparse_aliased,persistent,temporal_full,3111,reservoir_nilpotent_h32,32,111,48,1.0,0.6666666666666666,0.6666666666666666
room_graph_bottleneck,bottleneck,high,sparse_aliased,persistent,temporal_full,3111,lin_block_r3_l16,216,111,48,1.0,0.7291666666666666,0.7291666666666666
room_graph_bottleneck,bottleneck,low,vector,persistent,temporal_full,3017,memoryless_linear,8,111,48,0.20833333333333334,0.7291666666666666,0.3
room_graph_bottleneck,bottleneck,low,vector,persistent,temporal_full,3017,history_h8,64,111,48,0.20833333333333334,0.7708333333333334,0.7
room_graph_bottleneck,bottleneck,low,vector,persistent,temporal_full,3017,hybrid_vector_history_h8,72,111,48,0.20833333333333334,0.7708333333333334,0.7
room_graph_bottleneck,bottleneck,low,vector,persistent,temporal_full,3017,numpy_rnn_h32,32,111,48,0.20833333333333334,0.6875,0.6
room_graph_bottleneck,bottleneck,low,vector,persistent,temporal_full,3017,reservoir_diagonal_h32,32,111,48,0.20833333333333334,0.7708333333333334,0.3
room_graph_bottleneck,bottleneck,low,vector,persistent,temporal_full,3017,reservoir_nilpotent_h32,32,111,48,0.20833333333333334,0.7916666666666666,0.6
room_graph_bottleneck,bottleneck,low,vector,persistent,temporal_full,3017,lin_block_r3_l16,144,111,48,0.20833333333333334,0.7291666666666666,0.7
room_graph_bottleneck,bottleneck,high,sparse_aliased,persistent,temporal_full,3117,memoryless_linear,12,111,48,1.0,0.6666666666666666,0.6666666666666666
room_graph_bottleneck,bottleneck,high,sparse_aliased,persistent,temporal_full,3117,history_h8,96,111,48,1.0,0.75,0.75
room_graph_bottleneck,bottleneck,high,sparse_aliased,persistent,temporal_full,3117,hybrid_vector_history_h8,104,111,48,1.0,0.8541666666666666,0.8541666666666666
room_graph_bottleneck,bottleneck,high,sparse_aliased,persistent,temporal_full,3117,numpy_rnn_h32,32,111,48,1.0,0.6666666666666666,0.6666666666666666
room_graph_bottleneck,bottleneck,high,sparse_aliased,persistent,temporal_full,3117,reservoir_diagonal_h32,32,111,48,1.0,0.8125,0.8125
room_graph_bottleneck,bottleneck,high,sparse_aliased,persistent,temporal_full,3117,reservoir_nilpotent_h32,32,111,48,1.0,0.7291666666666666,0.7291666666666666
room_graph_bottleneck,bottleneck,high,sparse_aliased,persistent,temporal_full,3117,lin_block_r3_l16,216,111,48,1.0,0.7291666666666666,0.7291666666666666
room_graph_bottleneck,bottleneck,low,vector,cue_gap,temporal_cue_then_blank,4011,memoryless_linear,8,111,48,0.8958333333333334,0.625,0.5813953488372093
room_graph_bottleneck,bottleneck,low,vector,cue_gap,temporal_cue_then_blank,4011,history_h8,64,111,48,0.8958333333333334,0.6875,0.6511627906976745
room_graph_bottleneck,bottleneck,low,vector,cue_gap,temporal_cue_then_blank,4011,hybrid_vector_history_h8,72,111,48,0.8958333333333334,0.6875,0.6511627906976745
room_graph_bottleneck,bottleneck,low,vector,cue_gap,temporal_cue_then_blank,4011,numpy_rnn_h32,32,111,48,0.8958333333333334,0.625,0.5813953488372093
room_graph_bottleneck,bottleneck,low,vector,cue_gap,temporal_cue_then_blank,4011,reservoir_diagonal_h32,32,111,48,0.8958333333333334,0.7083333333333334,0.6976744186046512
room_graph_bottleneck,bottleneck,low,vector,cue_gap,temporal_cue_then_blank,4011,reservoir_nilpotent_h32,32,111,48,0.8958333333333334,0.6041666666666666,0.5813953488372093
