task,obs_mode,temporal_mode,best_memoryless_accuracy,best_recurrent_model,best_recurrent_accuracy,memory_advantage
torus_lattice,sparse_aliased,temporal_full,0.35714285714285715,numpy_rnn,0.5357142857142857,0.17857142857142855
torus_lattice,vector,temporal_cue_then_blank,0.5357142857142857,numpy_rnn,0.5357142857142857,0.0
torus_lattice,vector,temporal_dropout,0.5714285714285714,lin_sequence_front_bands_r1_l2,0.5476190476190476,-0.023809523809523836
torus_lattice,vector,temporal_full,0.5714285714285714,lin_sequence_front_bands_r1_l2,0.5952380952380952,0.023809523809523836
trace_commute_000,egocentric_landmark,temporal_cue_then_blank,0.3177083333333333,numpy_rnn,0.36458333333333337,0.046875000000000056
trace_commute_000,egocentric_landmark,temporal_dropout,0.6822916666666667,lin_sequence_front_bands_r5_l4,0.6996527777777778,0.01736111111111105
trace_commute_000,egocentric_landmark,temporal_full,0.9947916666666667,numpy_rnn,0.9947916666666667,0.0
trace_commute_000,hybrid,temporal_cue_then_blank,0.3333333333333333,numpy_rnn,0.36458333333333337,0.031250000000000056
trace_commute_000,hybrid,temporal_dropout,0.6510416666666667,numpy_rnn,0.6927083333333334,0.04166666666666663
trace_commute_000,hybrid,temporal_full,0.9947916666666667,numpy_rnn,0.9947916666666667,0.0
trace_commute_000,sparse_aliased,temporal_cue_then_blank,0.3177083333333333,numpy_rnn,0.36458333333333337,0.046875000000000056
trace_commute_000,sparse_aliased,temporal_dropout,0.6302083333333334,numpy_rnn,0.6770833333333333,0.04687499999999989
trace_commute_000,sparse_aliased,temporal_full,0.9947916666666667,numpy_rnn,0.9947916666666667,0.0
trace_commute_000,vector,temporal_cue_then_blank,0.3333333333333333,numpy_rnn,0.359375,0.026041666666666685
trace_commute_000,vector,temporal_dropout,0.44270833333333337,reservoir_symmetric,0.501736111111111,0.05902777777777768
trace_commute_000,vector,temporal_full,0.5520833333333333,lin_sequence_all_units_r3_l4,0.9947916666666666,0.44270833333333337
trace_commute_067,egocentric_landmark,temporal_cue_then_blank,0.24479166666666669,reservoir_diagonal,0.5,0.2552083333333333
trace_commute_067,egocentric_landmark,temporal_dropout,0.41145833333333337,lin_sequence_front_bands_r5_l8,0.5538194444444444,0.14236111111111105
trace_commute_067,egocentric_landmark,temporal_full,0.47916666666666663,lin_sequence_front_bands_r1_l8,0.6788194444444443,0.19965277777777768
trace_commute_067,hybrid,temporal_cue_then_blank,0.36979166666666663,reservoir_diagonal,0.6440972222222222,0.2743055555555556
trace_commute_067,hybrid,temporal_dropout,0.53125,reservoir_block_hybrid,0.6631944444444445,0.13194444444444453
trace_commute_067,hybrid,temporal_full,0.6927083333333333,lin_sequence_front_bands_r3_l8,0.8802083333333334,0.1875000000000001
trace_commute_067,sparse_aliased,temporal_cue_then_blank,0.24479166666666669,reservoir_diagonal,0.48611111111111116,0.24131944444444448
trace_commute_067,sparse_aliased,temporal_dropout,0.390625,lin_sequence_front_bands_r1_l8,0.5416666666666666,0.15104166666666663
trace_commute_067,sparse_aliased,temporal_full,0.5364583333333333,numpy_rnn,0.75,0.21354166666666674
trace_commute_067,vector,temporal_cue_then_blank,0.36979166666666663,reservoir_diagonal,0.6493055555555555,0.27951388888888884
trace_commute_067,vector,temporal_dropout,0.453125,reservoir_diagonal,0.6614583333333333,0.20833333333333326
trace_commute_067,vector,temporal_full,0.6041666666666666,reservoir_block_hybrid,0.8836805555555557,0.27951388888888906
trace_commute_100,egocentric_landmark,temporal_cue_then_blank,0.56,lin_sequence_front_bands_r3_l8,0.7666666666666666,0.20666666666666655
trace_commute_100,egocentric_landmark,temporal_dropout,0.6333333333333333,lin_sequence_front_bands_r1_l8,0.7311111111111112,0.09777777777777785
trace_commute_100,egocentric_landmark,temporal_full,0.7666666666666666,reservoir_diagonal,0.8866666666666666,0.12
trace_commute_100,hybrid,temporal_cue_then_blank,0.56,lin_sequence_front_bands_r5_l8,0.7666666666666666,0.20666666666666655
trace_commute_100,hybrid,temporal_dropout,0.54,lin_sequence_front_bands_r1_l8,0.7844444444444445,0.24444444444444446
trace_commute_100,hybrid,temporal_full,0.5866666666666667,reservoir_nilpotent,0.8466666666666667,0.26
trace_commute_100,sparse_aliased,temporal_cue_then_blank,0.4,reservoir_symmetric,0.6066666666666667,0.20666666666666667
trace_commute_100,sparse_aliased,temporal_dropout,0.42000000000000004,lin_sequence_front_bands_r1_l8,0.5800000000000001,0.16000000000000003
trace_commute_100,sparse_aliased,temporal_full,0.4,lin_sequence_front_bands_r5_l8,0.5888888888888889,0.18888888888888888
trace_commute_100,vector,temporal_cue_then_blank,0.56,lin_sequence_front_bands_r3_l8,0.7755555555555556,0.2155555555555555
trace_commute_100,vector,temporal_dropout,0.5666666666666667,lin_sequence_front_bands_r3_l8,0.7844444444444445,0.21777777777777785
trace_commute_100,vector,temporal_full,0.5866666666666667,reservoir_orthogonal,0.9,0.31333333333333335
tree,egocentric_landmark,temporal_cue_then_blank,0.9423076923076923,numpy_rnn,0.9551282051282051,0.012820512820512775
tree,egocentric_landmark,temporal_dropout,0.967948717948718,numpy_rnn,0.9743589743589743,0.0064102564102563875
tree,egocentric_landmark,temporal_full,0.967948717948718,numpy_rnn,0.9743589743589743,0.0064102564102563875
tree,hybrid,temporal_cue_then_blank,0.9487179487179487,numpy_rnn,0.967948717948718,0.019230769230769273
tree,hybrid,temporal_dropout,0.967948717948718,lin_sequence_front_bands_r1_l2,0.967948717948718,0.0
tree,hybrid,temporal_full,0.967948717948718,reservoir_diagonal,0.9700854700854701,0.002136752136752129
tree,sparse_aliased,temporal_cue_then_blank,0.9423076923076923,numpy_rnn,0.967948717948718,0.02564102564102566
tree,sparse_aliased,temporal_dropout,0.967948717948718,lin_sequence_front_bands_r1_l2,0.967948717948718,0.0
tree,sparse_aliased,temporal_full,0.967948717948718,lin_sequence_front_bands_r1_l2,0.967948717948718,0.0
tree,vector,temporal_cue_then_blank,0.9551282051282051,numpy_rnn,0.967948717948718,0.012820512820512886
tree,vector,temporal_dropout,0.967948717948718,reservoir_diagonal,0.9722222222222222,0.004273504273504258
tree,vector,temporal_full,0.967948717948718,numpy_rnn,0.967948717948718,0.0
