task,basis,family,dim,delay,accuracy,target_norm,adjacent_lag_similarity
delayed_cue_with_distractors,osc_r095_m16,oscillatory,32,4,1.0,0.8145062499999999,1.639490688165953e-16
delayed_cue_with_distractors,osc_r095_m16,oscillatory,32,8,1.0,0.6634204312890623,9.735304154115875e-17
delayed_cue_with_distractors,osc_r095_m16,oscillatory,32,12,1.0,0.5403600876626367,2.9348822239916986e-16
delayed_cue_with_distractors,osc_r095_m16,oscillatory,32,16,1.0,0.44012666865176536,-5.1044592635838827e-17
delayed_cue_with_distractors,osc_r095_m16,oscillatory,32,20,1.0,0.3584859224085419,-6.411795374950037e-17
delayed_cue_with_distractors,osc_r095_m16,oscillatory,32,24,1.0,0.2919890243387724,3.7692541234699563e-16
delayed_cue_with_distractors,osc_r095_m16,oscillatory,32,28,1.0,0.2378268852553322,5.900067666450299e-16
delayed_cue_with_distractors,osc_r095_m16,oscillatory,32,32,0.8683333333333333,0.19371148445850087,8.402851471556201e-16
delayed_cue_with_distractors,osc_r095_m16,oscillatory,32,36,0.8391666666666666,0.1577792147882268,1.5722365721448651e-16
delayed_cue_with_distractors,osc_r095_m16,oscillatory,32,40,0.84,0.1285121565651031,-6.423661983344098e-16
delayed_cue_with_distractors,osc_r095_m16,oscillatory,32,44,0.855,0.10467395472325501,1.0340684748403682e-16
delayed_cue_with_distractors,osc_r095_m16,oscillatory,32,48,0.8375,0.08525759033430819,-7.793462682714767e-17
delayed_cue_with_distractors,osc_r095_m16,oscillatory,32,52,0.8366666666666667,0.06944284018723361,2.8834518053442617e-16
delayed_cue_with_distractors,osc_r095_m16,oscillatory,32,56,0.8425,0.05656162735025293,-1.2878049125082165e-16
delayed_cue_with_distractors,osc_r095_m16,oscillatory,32,60,0.8033333333333333,0.04606979898695194,5.292692862862352e-16
delayed_cue_with_distractors,osc_r095_m16,oscillatory,32,64,0.5158333333333334,0.03752413921111601,-5.863912073512599e-17
delayed_cue_with_distractors,osc_r095_m16,oscillatory,32,68,0.5133333333333333,0.030563645913324063,1.2464708330936637e-15
delayed_cue_with_distractors,osc_r095_m16,oscillatory,32,72,0.5166666666666667,0.0248942806191894,-1.454262380976813e-16
delayed_cue_with_distractors,osc_r095_m16,oscillatory,32,76,0.5158333333333334,0.020276547153583634,1.033403260454446e-15
delayed_cue_with_distractors,osc_r095_m16,oscillatory,32,80,0.5183333333333333,0.01651537438501358,-6.372367496360956e-16
delayed_cue_with_distractors,osc_r095_m16,oscillatory,32,84,0.495,0.013451875657683465,1.6008871588863329e-16
delayed_cue_with_distractors,osc_r095_m16,oscillatory,32,88,0.5375,0.01095663679740604,-2.2119908076910018e-16
delayed_cue_with_distractors,osc_r095_m16,oscillatory,32,92,0.5058333333333334,0.008924249150467203,-2.450147774876507e-16
delayed_cue_with_distractors,osc_r095_m16,oscillatory,32,96,0.5,0.007268856709612725,8.641058506153716e-18
delayed_cue_with_distractors,osc_r090_m16,oscillatory,32,4,1.0,0.6560999999999999,1.5142206675818242e-16
delayed_cue_with_distractors,osc_r090_m16,oscillatory,32,8,1.0,0.4304672100000002,1.137434462933604e-16
delayed_cue_with_distractors,osc_r090_m16,oscillatory,32,12,1.0,0.2824295364810001,2.740189352086721e-16
delayed_cue_with_distractors,osc_r090_m16,oscillatory,32,16,1.0,0.18530201888518416,-2.2734346114694447e-17
delayed_cue_with_distractors,osc_r090_m16,oscillatory,32,20,1.0,0.12157665459056935,0.0
delayed_cue_with_distractors,osc_r090_m16,oscillatory,32,24,1.0,0.07976644307687256,4.294082270670425e-16
delayed_cue_with_distractors,osc_r090_m16,oscillatory,32,28,0.9958333333333333,0.05233476330273609,5.343963867609299e-16
