task,geometry,behavior_family,obs_mode,temporal_mode,model,sequence_r,sequence_l,sequence_ell,input_injection,n_runs,action_accuracy_mean,action_accuracy_sem,greedy_success_mean,greedy_success_sem,context_accuracy_mean,context_accuracy_sem
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,hybrid,temporal_cue_then_blank,lin_sequence_front_bands_r1_l4,1,4,4,front_bands,6,0.31666666666666665,0.030731814857642967,0.3333333333333333,0.0760116950066092,0.5833333333333334,0.10775486583496409
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,hybrid,temporal_cue_then_blank,lin_sequence_front_bands_r1_l8,1,8,8,front_bands,6,0.3166666666666667,0.040138648595974324,0.3,0.07302967433402215,0.5333333333333333,0.0760116950066092
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,hybrid,temporal_cue_then_blank,lin_sequence_front_bands_r3_l2,3,2,4,front_bands,6,0.3666666666666667,0.021081851067789207,0.35000000000000003,0.05,0.5833333333333333,0.06540472290116194
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,hybrid,temporal_cue_then_blank,lin_sequence_front_bands_r3_l4,3,4,6,front_bands,6,0.2833333333333334,0.040138648595974324,0.2333333333333333,0.04216370213557839,0.5499999999999999,0.09916316520429011
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,hybrid,temporal_cue_then_blank,lin_sequence_front_bands_r3_l8,3,8,10,front_bands,6,0.3,0.0447213595499958,0.38333333333333336,0.06540472290116195,0.5166666666666666,0.07490735018081411
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,hybrid,temporal_cue_then_blank,lin_sequence_front_bands_r5_l2,5,2,6,front_bands,6,0.3166666666666667,0.040138648595974324,0.3333333333333333,0.06146362971528592,0.5333333333333333,0.06666666666666667
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,hybrid,temporal_cue_then_blank,lin_sequence_front_bands_r5_l4,5,4,8,front_bands,6,0.3,0.03651483716701108,0.31666666666666665,0.08724168218868268,0.5499999999999999,0.07637626158259732
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,hybrid,temporal_cue_then_blank,lin_sequence_front_bands_r5_l8,5,8,12,front_bands,6,0.2833333333333333,0.040138648595974324,0.21666666666666667,0.08724168218868268,0.5166666666666667,0.08333333333333334
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,hybrid,temporal_dropout,lin_sequence_all_units_r3_l4,3,4,6,all_units,6,0.3666666666666667,0.06666666666666667,0.2833333333333333,0.060092521257733164,0.3,0.08164965809277261
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,hybrid,temporal_dropout,lin_sequence_front_bands_r1_l2,1,2,2,front_bands,6,0.23333333333333336,0.04216370213557839,0.16666666666666666,0.04944132324730443,0.5,0.0447213595499958
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,hybrid,temporal_dropout,lin_sequence_front_bands_r1_l4,1,4,4,front_bands,6,0.3,0.05773502691896258,0.19999999999999998,0.07745966692414835,0.25,0.022360679774997894
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,hybrid,temporal_dropout,lin_sequence_front_bands_r1_l8,1,8,8,front_bands,6,0.25,0.042817441928883766,0.25,0.05,0.18333333333333335,0.047726070210921186
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,hybrid,temporal_dropout,lin_sequence_front_bands_r3_l2,3,2,4,front_bands,6,0.38333333333333336,0.07923242882669808,0.26666666666666666,0.04944132324730442,0.3333333333333333,0.04944132324730442
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,hybrid,temporal_dropout,lin_sequence_front_bands_r3_l4,3,4,6,front_bands,6,0.2833333333333333,0.03073181485764296,0.21666666666666667,0.10775486583496409,0.35000000000000003,0.042817441928883766
