topology,aliasing,cue_visibility,model,state_dim,n_runs,action_accuracy_mean,action_accuracy_sem,decision_accuracy_mean,decision_accuracy_sem,decision_fraction_mean
bottleneck,low,cue_gap,lin_block_r3_l16,144,2,0.5833333333333334,0.0625,0.5348837209302325,0.0697674418604651,0.8958333333333334
bottleneck,low,cue_gap,memoryless_linear,8,2,0.65625,0.03125,0.6162790697674418,0.034883720930232565,0.8958333333333334
bottleneck,low,cue_gap,numpy_rnn_h32,32,2,0.65625,0.03125,0.6162790697674418,0.034883720930232565,0.8958333333333334
bottleneck,low,cue_gap,reservoir_diagonal_h32,32,2,0.7083333333333334,0.0,0.686046511627907,0.011627906976744205,0.8958333333333334
bottleneck,low,cue_gap,reservoir_nilpotent_h32,32,2,0.5729166666666666,0.03125,0.5348837209302326,0.04651162790697677,0.8958333333333334
bottleneck,low,persistent,history_h8,64,2,0.7395833333333334,0.03125,0.6625,0.03749999999999998,0.1875
bottleneck,low,persistent,hybrid_vector_history_h8,72,2,0.7395833333333334,0.03125,0.6625,0.03749999999999998,0.1875
bottleneck,low,persistent,lin_block_r3_l16,144,2,0.71875,0.01041666666666663,0.85,0.15,0.1875
bottleneck,low,persistent,memoryless_linear,8,2,0.6770833333333333,0.052083333333333315,0.275,0.024999999999999994,0.1875
bottleneck,low,persistent,numpy_rnn_h32,32,2,0.6770833333333333,0.010416666666666683,0.4875,0.11249999999999999,0.1875
bottleneck,low,persistent,reservoir_diagonal_h32,32,2,0.78125,0.01041666666666663,0.525,0.22499999999999998,0.1875
bottleneck,low,persistent,reservoir_nilpotent_h32,32,2,0.78125,0.01041666666666663,0.675,0.075,0.1875
loop_rich,high,cue_gap,history_h8,96,2,0.4193548387096774,0.03225806451612903,0.40632183908045977,0.027011494252873577,0.9516129032258065
loop_rich,high,cue_gap,hybrid_vector_history_h8,104,2,0.596774193548387,0.04838709677419356,0.5925287356321839,0.040804597701149414,0.9516129032258065
loop_rich,high,cue_gap,lin_block_r3_l16,216,2,0.4193548387096774,0.03225806451612903,0.40632183908045977,0.027011494252873577,0.9516129032258065
loop_rich,high,cue_gap,memoryless_linear,12,2,0.4838709677419355,0.03225806451612903,0.47413793103448276,0.025862068965517234,0.9516129032258065
loop_rich,high,cue_gap,numpy_rnn_h32,32,2,0.5161290322580645,0.0,0.5086206896551724,0.00862068965517243,0.9516129032258065
loop_rich,high,cue_gap,reservoir_diagonal_h32,32,2,0.43548387096774194,0.016129032258064502,0.4241379310344828,0.02413793103448275,0.9516129032258065
loop_rich,high,cue_gap,reservoir_nilpotent_h32,32,2,0.4032258064516129,0.01612903225806453,0.3896551724137931,0.010344827586206917,0.9516129032258065
loop_rich,high,persistent,history_h8,96,2,0.4838709677419355,0.06451612903225802,0.4838709677419355,0.06451612903225802,1.0
loop_rich,high,persistent,hybrid_vector_history_h8,104,2,0.6129032258064516,0.032258064516129004,0.6129032258064516,0.032258064516129004,1.0
loop_rich,high,persistent,lin_block_r3_l16,216,2,0.467741935483871,0.11290322580645161,0.467741935483871,0.11290322580645161,1.0
loop_rich,high,persistent,memoryless_linear,12,2,0.564516129032258,0.04838709677419356,0.564516129032258,0.04838709677419356,1.0
loop_rich,high,persistent,numpy_rnn_h32,32,2,0.5,0.016129032258064502,0.5,0.016129032258064502,1.0
loop_rich,high,persistent,reservoir_diagonal_h32,32,2,0.5483870967741935,0.09677419354838708,0.5483870967741935,0.09677419354838708,1.0
loop_rich,high,persistent,reservoir_nilpotent_h32,32,2,0.45161290322580644,0.06451612903225805,0.45161290322580644,0.06451612903225805,1.0
loop_rich,low,cue_gap,history_h8,64,2,0.467741935483871,0.01612903225806453,0.4666666666666667,0.033333333333333326,0.903225806451613
loop_rich,low,cue_gap,hybrid_vector_history_h8,72,2,0.5806451612903226,0.0,0.591025641025641,0.02435897435897438,0.903225806451613
loop_rich,low,cue_gap,lin_block_r3_l16,144,2,0.467741935483871,0.01612903225806453,0.4666666666666667,0.033333333333333326,0.903225806451613
loop_rich,low,cue_gap,memoryless_linear,8,2,0.5,0.016129032258064502,0.5,0.0,0.903225806451613
loop_rich,low,cue_gap,numpy_rnn_h32,32,2,0.5161290322580645,0.0,0.5,0.0,0.903225806451613
loop_rich,low,cue_gap,reservoir_diagonal_h32,32,2,0.5161290322580645,0.032258064516129004,0.5217948717948717,0.0551282051282051,0.903225806451613
loop_rich,low,cue_gap,reservoir_nilpotent_h32,32,2,0.43548387096774194,0.016129032258064502,0.4666666666666667,0.033333333333333326,0.903225806451613
